id,name,city,state,country,brewery_type
760e8395-f2a2-4161-9bf1-c72ed1aa6ae3,4th Tap Brewing Cooperative,Austin,Texas,United States,micro
d8b4ad26-346b-40dd-8215-b0e89ace23e2,5 Alarm Brewing Co,Lake Mills,Iowa,United States,micro
c17a3e56-4d4e-405e-a21b-85f415903674,5 Lakes Brewing Co.,Dorr,Michigan,United States,brewpub
257e9aac-7dbe-4656-b366-9d8a94c49d58,5 North Brewing Company,Spokane,Washington,United States,closed
f927d8d6-3151-4073-9d20-410ca617853e,5 Rabbit Cerveceria Inc,Chicago,Illinois,United States,micro
5c99b790-e00d-4ca6-86a5-37723f728690,5 Rights Brewing Co,Marysville,Washington,United States,micro
2af85509-aee5-46bc-ab1a-fd9b8b0026d4,5 Rivers Brewing LLC,Spanish Fort,Alabama,United States,planning
80c395e8-28c8-460a-9cc5-721fcc22410f,5 Seasons Brewing Co - Prado,Sandy Springs,Georgia,United States,brewpub
baad8dd7-b295-480c-8f64-e499562a3662,5 Seasons Brewing Co - Westside,Atlanta,Georgia,United States,brewpub
83d47922-0a23-4b85-9c1c-d50b9135d64a,5 Stones Artisan Brewery,New Braunfels,Texas,United States,micro
fafc2e23-c3bf-46d3-87c0-00e92209269b,515 Brewing Co,Clive,Iowa,United States,micro
7e12d827-22dc-4d07-8715-8192c9680b23,5150 Brewing At The Brass Tap Rocklin,Rocklin,California,United States,micro
132540a2-23c8-4720-8c58-31292d264c4a,51st State Brewing Company,Kingsford,Michigan,United States,brewpub
5858b701-9e27-44e6-8ab8-b950b72c4181,51st Ward Beer Company,Westmont,Illinois,United States,contract
4d878d25-a8fb-49e7-93da-56d229bf46ff,54-40 Brewing Company,Washougal,Washington,United States,brewpub
126f87c3-1c6d-4ff0-b35c-c8dfa9a8e1b4,550 Brewing,Aztec,New Mexico,United States,proprietor
4a4baf4f-921c-46c0-9130-afcc4ce4f4d2,559 Local Brewing,Clovis,California,United States,micro
b0d5d69d-b439-44a6-ab3e-0cbd15658dc7,56 Brewing,Minneapolis,Minnesota,United States,micro
f4a902c1-e5a6-43da-b3e4-a1ffc97d31a9,5770 Brewery,Teutopolis,Illinois,United States,micro
258bdc0a-6d5d-4c36-bcf7-e150b3ec6333,5th Company Brewing,Perryville,Maryland,United States,brewpub
eaf55668-8444-4e4f-80c2-b9f32f7e4d83,5th Element Brewing,Leander,Texas,United States,planning
cc8de428-9663-466c-bae8-73ad9edf0892,5th Line Brewing Co,Yakima,Washington,United States,micro
849d5961-83c5-4115-9ae4-c0e93c8d3a7f,5x5 Brewing Co.,Mission,Texas,United States,planning
e2bb50c4-260f-4f42-8306-392f7bd5f4ba,6 & 40 Brewery/Taproom,Lakewood,Colorado,United States,planning
e5992621-3c91-4968-b913-85972aa66fbb,"6 Bears & A Goat Brewing Company, LLC",Fredericksburg,Virginia,United States,brewpub
76ee21a3-d4bd-4526-9ef8-5a23a4507566,6 Bridges Brewing,Johns Creek,Georgia,United States,planning
6f431fe7-b136-444b-84e3-3a2042903d93,6 Degrees of Separation,Ossining,New York,United States,brewpub
ddf69cff-978e-47b6-b42e-75f102418bd0,603 Brewery,Londonderry,New Hampshire,United States,micro
62871bbc-a963-4c09-9eff-eb36ade49fd7,608 Brewing Company,La Crosse,Wisconsin,United States,micro
f3e9ba4b-0246-44ac-9170-f095d19e8d64,612 Brew,Minneapolis,Minnesota,United States,micro
af6cb069-b61a-4c69-8fd2-0a5f87c11a17,6th and La Brea,Los Angeles,California,United States,brewpub
6a928a00-bf8e-4481-ae27-a2a5b14f56e2,7 Devils Brewing Co,Coos Bay,Oregon,United States,brewpub
8824022a-0fd9-4727-b6fa-b7aaf65eb043,7 Hermits Brewing Company,Eagle,Colorado,United States,brewpub
e861ea88-9815-48a0-84ba-d2a1929178e7,7 Hills Brewing Company,Dubuque,Iowa,United States,brewpub
4e84a8d0-0d52-431e-a57a-da8977625bd2,7 Locks Brewing,Rockville,Maryland,United States,micro
84c84db6-1120-4106-a5d3-fd65b9d7303d,7 Mile Brewery,Rio Grande,New Jersey,United States,micro
745b65a8-d682-465c-a418-0188ce5878c2,7 Seas Brewing Co,Tacoma,Washington,United States,micro
e062c040-4ff9-46f1-9f3d-172626694cb0,7 Seas Brewing Co - Gig Harbor,Gig Harbor,Washington,United States,taproom
a1199657-e4a9-496b-88c3-999f9e7e97e9,7 Sins Brewery,Ripley,New York,United States,micro
a3a1eac7-b858-4bdd-81ac-c2099b717da2,7 Sisters Brewing Co,San Luis Obispo,California,United States,brewpub
3f3220f8-75f8-4fea-a5a4-289aa3267f11,"718BrewCafe, LLP",Metropolis,Illinois,United States,brewpub
c00f57cf-acdd-46da-9269-d182cb87a7e4,734 Brewing Company,Ypsilanti,Michigan,United States,micro
66a91db6-7d2a-4d67-a720-7f924cae3571,7th Settlement Brewery,Dover,New Hampshire,United States,closed
c7b3260a-b441-4dc8-958f-34c045e26f22,7th Wave Brewing,Medfield,Massachusetts,United States,micro
c179a049-9988-4640-821d-ddf349cdd87e,7venth Sun Brewery,Dunedin,Florida,United States,micro
4679ff59-8ef6-4443-b6ec-f58232c6b7d7,7venth Sun Tampa,Tampa,Florida,United States,micro
c6a766f9-a187-4e5b-9519-6c737ce0cde5,8 Bit Brewing Company,Murrieta,California,United States,brewpub
eef94d73-65e8-4d94-b1de-0d4b45efe090,8-Bit Aleworks,Avondale,Arizona,United States,micro
783c5daa-ea5c-4462-836e-c2846ad3ff4e,81Bay Brewing Company,Tampa,Florida,United States,micro
187f0cfc-1433-4d8c-89c0-5b4151504a71,841 Brewhouse,Whitewater,Wisconsin,United States,brewpub
3055793c-9330-4fe1-958b-fef6d2a0e057,8one8 Brewing Company,Canoga Park,California,United States,micro
2d880e85-5b0f-447b-b1b2-5bcae8a4b130,8th Street Ale Haus,Sheboygan,Wisconsin,United States,brewpub
1682e94f-73ba-4035-93be-1fb28bb2cee7,8th Ward Brewing Company,Poughkeepsie,New York,United States,planning
c2bc693f-906a-46a0-a5f9-82eab2d2845b,8th Wonder Brewery,Houston,Texas,United States,micro
2b067eab-e0b0-46b6-aaea-e40a62cf632f,903 Brewers,Sherman,Texas,United States,micro
de6341a8-881b-4d9f-9335-5e9203e8a2c3,927 Beer Company,Cambria,California,United States,micro
de63f5c7-c340-4095-a302-f35ab8ac7179,93 Octane Brewery,Saint Charles,Illinois,United States,micro
b4e012c5-0f36-4d0a-a40b-cbcb29c7ceed,95ate5 Brewpub,Saint John,Indiana,United States,brewpub
42598f85-f02e-474c-9154-0aa4f1d932be,9th Hour Brewing Company LLC,Spring Grove,Illinois,United States,planning
9aeccd09-8884-4f0e-93f4-c44dacd246aa,A Homestead Brew,Valley Springs,South Dakota,United States,micro
88a7ac77-a52b-4496-91df-b41e5831a568,A Little Madness Brewing Company,Pensacola,Florida,United States,planning
5b627789-ff7e-4890-a7cf-24572bf547a2,Aardwolf Brewing Company,Jacksonville,Florida,United States,micro
7918a6dd-08d0-4157-a841-01b20a9a7a4c,Abandon Brewing,Penn Yan,New York,United States,micro
5a7b05f9-bf7b-49a2-a1de-0c1fe01b9374,Abandoned Building Brewery,Easthampton,Massachusetts,United States,micro
9c7b9f2a-6deb-44a1-9b3e-f83952a4db38,Abbey Brewing Co,Miami Beach,Florida,United States,contract
9c5acc37-15fa-4838-91ee-47bf27a94777,"Abbey Brewing Company, LLC",Santa Fe,New Mexico,United States,micro
30d8f77b-aeec-4435-a280-16bacd1b1c97,Aberrant Ales,Howell,Michigan,United States,brewpub
b161916f-3f69-4f16-8059-eef9eee6877c,Abide Brewing Company,Newnan,Georgia,United States,micro
e2fa853c-ca91-4043-878d-0bcee9900ea3,Abigaile,Hermosa Beach,California,United States,brewpub
c074ba4c-0b31-4344-a85a-7930df7fb410,Abita Brewing Co,Covington,Louisiana,United States,regional
f8ab9530-289b-4684-89f1-474e89f4c5ae,Abjuration Brewing,Mc Kees Rocks,Pennsylvania,United States,micro
c5f6426e-f894-4bfc-9ffb-43bc0baa0881,Able Baker Brewing,Henderson,Nevada,United States,micro
e6780612-ff74-4289-8718-a229529e3ee1,Able Ebenezer Brewing Company,Merrimack,New Hampshire,United States,micro
31678502-edf6-4eb0-bc10-4ede5ac279b6,Able Seedhouse and Brewery,Minneapolis,Minnesota,United States,micro
00221d0f-2ed7-41d1-95b8-d8b1bfbc8b0e,Abner's Restaurant Inc / Northern Michigan Beer,Brohman,Michigan,United States,brewpub
4db32843-26ff-4e73-9e24-1cb874109b24,Abnormal Beer Company,San Diego,California,United States,micro
28e05fda-77a4-4a5a-9f8a-08169ec07ce5,Abolitionist Ale Works,Charles Town,West Virginia,United States,brewpub
bec6adc5-3a3b-4793-8364-c58f16e88cc8,Abridged Beer Company,Knoxville,Tennessee,United States,brewpub
67525d30-1f18-4f03-a8ba-28a1153955eb,Absolution Brewing Co,Torrance,California,United States,micro
600f88e5-9dc9-4a41-b54e-909c292ba4bb,Absolution By the Sea,La Jolla,California,United States,brewpub
829f7243-78f3-4282-b0e8-1a5fcb10a229,Accomplice Beer Company,Cheyenne,Wyoming,United States,brewpub
b52bfb27-345f-4add-bfc3-1b6fc67ab55b,Acidulous Brewing Company,Littleton,Colorado,United States,contract
7fa5779e-88df-42ab-895b-412b635498ae,Acopon Brewing Co,Dripping Springs,Texas,United States,micro
1a6206ad-e34b-421d-92d9-ba409cfedf82,Acorn Brewing,Edgewood,Washington,United States,micro
2fe1e670-d832-4ba5-b957-f86a09ee062d,Acoustic Ales Brewing Experiment,San Diego,California,United States,closed
ea7f7091-5e37-4762-bbcc-9a51702c99c1,"Actual Brewing Company, LLC",Columbus,Ohio,United States,micro
0d0f85e7-bc2d-44fc-bf27-4f14e5d6136a,Adam's Northwest Bistro / Twin Rivers Brewing,Monroe,Washington,United States,closed
9ff5f718-dee7-4e69-b79c-6250de87e840,Adelbert's Brewery LLC,Austin,Texas,United States,micro
a180c4e0-77cc-4088-951c-62192abd99d4,Adirondack Pub and Brewery,Lake George,New York,United States,micro
1b7f0552-3b1a-4737-8cb4-eb8d7134d903,Adirondack Toboggan Company Microbrewery,Gouverneur,New York,United States,micro
49e805d3-70e3-4c21-81d6-d21e290ffefe,AdMerk Corp. Inc.,Washington,District of Columbia,United States,contract
2861f9b7-ebe4-49a5-a047-8aa0c142dbf3,Adobe Creek Brewing Company,Novato,California,United States,micro
a0111777-1fe6-4c8c-864e-c2518f5d5670,Adroit Theory Brewing Company,Purcellville,Virginia,United States,micro
73e05bc6-30a9-42f5-917e-08def2fa33fa,Adventure Brewing Co,Fredericksburg,Virginia,United States,micro
d4661358-81e2-454d-9fe2-b08ef6fc16fe,Adventure South,Fredericksburg,Virginia,United States,brewpub
e77c24b4-8b21-4d28-a9c0-568623b77cd9,Aero Craft Brewing,Denver,Colorado,United States,planning
6f0bba92-cc4b-49df-ad02-827b08bd7272,Aero Plains Brewing,Wichita,Kansas,United States,micro
59b8c8b8-6850-4b24-81f0-a16a9cd87773,Aeronaut Brewing Company,Somerville,Massachusetts,United States,micro
333c81a4-9bcd-4699-b28a-2c49dd696596,Aftershock Brewing Co,Temecula,California,United States,micro
c185b848-a69a-4d73-8a33-7b6f0db2e3fc,Afterthought Brewing Company,Lombard,Illinois,United States,micro
1844257e-dab7-421d-9a9e-f594a3943b2f,Against the Grain Beer Garden,Louisville,Kentucky,United States,planning
3d00e6db-0f45-43a5-add5-b9455edfdccb,Against the Grain Brewery,Louisville,Kentucky,United States,micro
68855f86-415a-44e9-a0ab-53e6c8b10a3d,Against the Grain Production Facility,Louisville,Kentucky,United States,micro
85c7bc77-387c-449f-8091-6c694b35077c,Agonic Brewing Company LLC,Rice Lake,Wisconsin,United States,planning
f1ed5260-13cb-4f22-a4ac-0e1f7f676a12,"Agrarian Ales, LLC",Eugene,Oregon,United States,closed
685be3dc-20b8-434d-880c-d7aabac5bfc0,Ahnapee Brewery,Algoma,Wisconsin,United States,micro
b9f4f532-15df-4a50-b15e-e5cd5d41977b,Aigean Ales,Manchester,New Hampshire,United States,closed
dfec4bba-cfbc-4562-b6be-f0563f51821a,Aiken Brewing Co,Aiken,South Carolina,United States,brewpub
f4c592ed-4c20-4b87-bb35-64f894a6cc6b,Airline Brewing Company,Amherst,Maine,United States,micro
9737bf0c-b29e-49d7-9778-3951072eb147,Airways Brewing Co,Kent,Washington,United States,closed
d9578437-2aa8-45ab-97f2-cf6f7074d9af,Airways Brewing Co. Bistro & Beer Garden,Kent,Washington,United States,closed
828ee507-7142-4c7c-9f0b-82964d4195d0,Akademia Brewing Company,Athens,Georgia,United States,brewpub
f767a00f-fbd9-4d31-abe6-902149c0158a,Akasha Brewing Company,Louisville,Kentucky,United States,micro
d4f4e76b-b971-4dcb-8a9b-d6c36a3e8c22,Akronym Brewing LLC,Akron,Ohio,United States,micro
06ac0316-a30f-40c6-acb7-c08fea0c30b1,Akwesasne Mohawk Casino Resort,Akwesasne,New York,United States,planning
39e91766-af3e-4074-9d49-26ca621e45dc,Al. Ringling Brewing Co,Baraboo,Wisconsin,United States,micro
b7db853a-e8aa-430f-84c8-d49b72184d01,Alameda Brewing Co,Portland,Oregon,United States,micro
07ad4030-fb5b-4eb7-9b28-d7f5556b145d,Alameda Brewing Co,Portland,Oregon,United States,micro
6fbd1118-ceea-4be9-a784-45dd623f16f0,Alameda Island Brewing Company,Alameda,California,United States,micro
edf1c0fb-cce0-44ec-8d98-dd4778e2d533,Alamo Beer Co,San Antonio,Texas,United States,micro
4f79f427-8214-4048-8636-63cef96b33da,Alarmist Brewing Co,Chicago,Illinois,United States,micro
aa3c4d60-4fb2-49e2-980c-6a61672d90cb,Alaro Craft Brewery,Sacramento,California,United States,brewpub
